pk,category,subid,main_category
89,Supermarket,52f2ab2ebcbc57f1066b8b46,Shop & Service
89,Fast Food Restaurant,4bf58dd8d48988d16e941735,Food
89,Convenience Store,4d954b0ea243a5684a65b473,Shop & Service
89,Park,4bf58dd8d48988d163941735,Outdoors & Recreation
89,Bus Station,4bf58dd8d48988d1fe931735,Not A Match
89,Gym,4bf58dd8d48988d176941735,Outdoors & Recreation
89,Bus Station,4bf58dd8d48988d1fe931735,Not A Match
89,Metro Station,4bf58dd8d48988d1fd931735,Not A Match
89,Theater,4bf58dd8d48988d137941735,Arts & Entertainment
89,Coffee Shop,4bf58dd8d48988d1e0931735,Food
89,Bus Stop,52f2ab2ebcbc57f1066b8b4f,Not A Match
89,Gym,4bf58dd8d48988d176941735,Outdoors & Recreation
89,Betting Shop,52f2ab2ebcbc57f1066b8b40,Shop & Service
89,Thrift / Vintage Store,4bf58dd8d48988d101951735,Shop & Service
89,Chinese Restaurant,4bf58dd8d48988d145941735,Food
89,Food,4d4b7105d754a06374d81259,Food
89,Café,4bf58dd8d48988d16d941735,Food
89,Soup Place,4bf58dd8d48988d1dd931735,Food
89,Nightclub,4bf58dd8d48988d11f941735,Nightlife Spot
89,Bakery,4bf58dd8d48988d16a941735,Food
89,Metro Station,4bf58dd8d48988d1fd931735,Not A Match
89,Track,4bf58dd8d48988d106941735,Outdoors & Recreation
89,Flower Shop,4bf58dd8d48988d11b951735,Shop & Service
90,Malay Restaurant,4bf58dd8d48988d156941735,Food
90,Gourmet Shop,4bf58dd8d48988d1f5941735,Shop & Service
90,Frozen Yogurt Shop,512e7cae91d4cbb4e5efe0af,Food
90,Café,4bf58dd8d48988d16d941735,Food
90,Japanese Restaurant,4bf58dd8d48988d111941735,Food
90,Noodle House,4bf58dd8d48988d1d1941735,Food
90,Asian Restaurant,4bf58dd8d48988d142941735,Food
90,Halal Restaurant,52e81612bcbc57f1066b79ff,Food
90,Spanish Restaurant,4bf58dd8d48988d150941735,Food
90,Café,4bf58dd8d48988d16d941735,Food
90,Train Station,4bf58dd8d48988d129951735,Not A Match
90,Thai Restaurant,4bf58dd8d48988d149941735,Food
90,Food Court,4bf58dd8d48988d120951735,Food
